pH,Dissolved Oxygen (mg/L),Turbidity (NTU),Electrical Conductivity (µS/cm),Total Dissolved Solids (TDS) (mg/L),Nitrate (NO3⁻) (mg/L),Phosphate (PO4³⁻) (mg/L),BOD (mg/L),COD (mg/L),Coliform Bacteria (CFU/mL),Ammonia (mg/L),Water Quality Category
7.249080238,5.851329288,1.308528419,1361.770839,307.3981452,3.936355203,3.24128477,0.387994547,38.81071696,932,0.127103426,1
8.401428613,9.419009474,1.234893995,1603.528725,412.4445482,4.734356594,0.861931811,1.867725282,37.49132018,590,0.197047676,0
7.963987884,12.72945836,4.531272903,538.4124026,392.0724184,8.545473932,4.361972817,8.312458051,13.83016795,459,2.937562397,0
7.697316968,11.32224886,1.247730999,1268.504494,119.2549571,3.400043861,3.065581195,7.667683563,46.9028962,60,0.308209417,1
6.812037281,12.06561148,1.359748631,1164.904667,117.1622614,8.696496848,0.786019418,3.506426915,32.73888809,368,4.792728034,0
6.811989041,10.58783367,3.796991312,1674.019235,170.6784655,0.88134431,4.811690287,3.768106278,24.54902085,120,0.709666054,1
6.616167224,10.92276565,2.248699212,1816.869768,212.4836269,7.767984372,2.591827317,5.335544336,40.26154334,718,1.52361403,0
8.232352292,12.49195652,3.883552785,73.70570438,233.8050116,8.475476331,0.364492259,0.002410047,20.29461834,545,4.11258901,0
7.702230023,6.496680089,0.326830788,1364.338842,355.8637476,1.818176528,3.134164522,2.41244336,37.74039348,581,1.093701616,0
7.916145156,8.894249636,2.437855968,151.0798083,75.50619447,4.303465324,1.265994535,2.082318086,11.5884483,16,1.214842292,1
6.541168989,6.212094418,0.168068001,1120.274397,65.6027169,1.654997747,4.018467259,2.504829467,43.5763215,495,3.211544779,0
8.439819704,13.87668008,0.313266017,610.8838216,226.3597533,7.06604129,4.089110368,8.059058425,27.92683388,496,1.380430442,0
8.164885282,13.4405934,4.532187267,648.2143691,363.7236615,5.353477681,4.894736779,2.796738565,35.46771657,504,1.08723817,0
6.924678221,4.394268114,0.696226856,738.2690817,137.0459043,6.353233467,2.509347655,1.915213221,18.84951279,531,1.270888572,0
6.863649934,11.05575173,2.662103411,1261.520276,338.6770166,1.96486967,2.274784399,5.042634608,37.08294851,968,2.453237497,0
6.86680902,13.25248317,2.055478013,701.3974331,166.9226621,2.117458621,3.767378027,8.656450364,40.88961104,314,4.830499364,0
7.108484486,5.805753451,1.736716631,1478.763149,448.738749,0.414973255,0.662353282,2.413497038,28.92852748,68,4.161189708,0
7.549512863,9.679452306,4.499166728,838.8284019,453.0604749,3.220675352,2.734577569,0.785362428,34.70907696,726,1.423051323,0
7.363890037,13.15488298,0.109116984,183.2887406,183.7792419,5.597446613,2.731238001,3.564047358,28.25303695,160,1.816866042,0
7.08245828,4.339459786,3.318948431,1578.331693,153.4971893,8.57934914,0.447365614,7.476518246,45.76365477,613,2.322561253,1
7.723705789,10.97420267,4.816972171,607.228733,235.0867874,6.669274475,2.089920428,5.506905447,29.91476722,887,4.894648235,0
6.778987721,6.973490074,2.800840917,893.8954152,158.2392133,4.353963234,4.266423993,8.167933696,43.67234836,717,0.861952342,1
7.084289297,13.24396195,4.68411231,1386.615572,352.5727295,9.531201144,4.28076811,9.595921476,42.05408233,144,1.787415517,1
7.232723687,13.71058245,0.261289396,698.2895064,421.729108,7.192452006,0.496188325,7.926624768,26.42019285,568,3.64713047,1
7.412139968,13.44266489,2.093966595,160.3420295,352.8914589,9.301652029,0.453604414,6.038030788,19.20337967,594,4.819718671,0
8.070351923,8.742142167,1.300788955,779.1460417,420.9577013,5.275879733,1.313477385,4.933415881,26.2432853,992,0.778376064,1
6.899347564,12.62042651,3.654104825,1891.674736,228.646473,2.589042748,4.373830313,0.400690863,43.04869503,384,1.136899771,1
7.528468877,12.44549399,4.906485452,1301.382075,120.3426368,0.528266864,0.644512925,9.843219788,19.10530143,268,1.128473372,1
7.684829138,7.191004732,1.282650312,1359.38434,382.0779263,7.260848515,3.599984013,3.834811226,30.97745383,922,0.104660147,0
6.592900825,12.28915474,3.270873007,1282.9502,212.2135273,1.21302998,0.505828098,1.522282139,42.24386992,453,3.020578125,1
7.715089704,4.370076347,0.990488164,438.034671,352.0718714,3.027751283,3.115689269,6.667088554,24.13909901,698,3.353515371,0
6.841048247,9.962698785,2.826651273,865.751035,171.7897739,5.324709079,1.780336496,2.842882891,35.68838548,517,3.012629451,1
6.630103186,6.300088373,2.319662433,1514.332607,86.55333566,5.644165878,3.944569815,5.857782709,19.82526296,864,0.356614947,1
8.397771075,5.205668858,4.860026648,247.6771502,496.661808,6.00583197,1.168452244,5.867679078,14.37117781,349,0.346150629,0
8.431264066,4.769532016,3.042636363,591.8129134,120.2906786,1.662553303,3.196009147,4.457298209,41.775369,109,1.051932772,0
8.116794696,10.96288776,1.74753186,588.8222615,494.7894473,3.797374048,1.178412673,8.361186155,13.95874494,482,1.451472578,1
7.109227538,7.398749638,0.570478924,892.4369088,489.7759697,6.171942271,3.568301416,2.649670616,20.8552558,406,3.93271828,1
6.695344228,11.24766772,0.756234144,1961.719045,407.2181468,9.698188646,4.368390173,4.486325916,44.20437688,649,0.796951329,1
7.868466053,4.653563408,1.12658465,181.629966,346.7403329,7.276311377,0.634008996,5.376921286,23.85877148,50,0.220461082,0
7.380304987,7.152903378,1.254833307,1061.466939,310.0131726,9.226037571,4.332978443,6.636247208,48.92181398,402,1.969937539,0
